object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
5943,,The bodhisattva Avalokiteshvara (Guanyin),618-907,18,Sculpture,Bronze with gilding,Bronze with gilding,"H. 13 in x W. 3 5/8 in x D. 2 5/8 in, H. 33.0 cm x W. 9.2 cm x D. 6.7 cm",2,,https://searchcollection.asianart.org/objects/5211/the-bodhisattva-avalokiteshvara-guanyin?ctx=04c4b3fd27a9d2f3411631f8a848e7c9e00c23c5&idx=2973,https://searchcollection.asianart.org/internal/media/dispatcher/11813/preview,,The Avery Brundage Collection,B60B334,2026-06-03,1,,
5944,,Boar,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 5 in x W. 8 3/4 in, H. 12.7 cm x W. 22.2 cm",2,,https://searchcollection.asianart.org/objects/5215/boar?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2976,https://searchcollection.asianart.org/internal/media/dispatcher/20572/preview,,The Avery Brundage Collection,B62D48.182,2026-06-03,1,,
5945,,Crab,1800-1960,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 4 in x W. 7 in, H. 10.2 cm x W. 17.8 cm",2,,https://searchcollection.asianart.org/objects/5216/crab?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2977,https://searchcollection.asianart.org/internal/media/dispatcher/20571/preview,,The Avery Brundage Collection,B62D48.181,2026-06-03,1,,
5946,,White bearded male figure in black-and-white robe,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,,https://searchcollection.asianart.org/objects/5217/white-bearded-male-figure-in-blackandwhite-robe?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2978,https://searchcollection.asianart.org/internal/media/dispatcher/20437/preview,,The Avery Brundage Collection,B62D48.47,2026-06-03,1,,
5947,,Male figure with curly hair and beard holding two red batons,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 1/2 in, H. 26.7 cm",2,,https://searchcollection.asianart.org/objects/5218/male-figure-with-curly-hair-and-beard-holding-two-red-batons?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2979,https://searchcollection.asianart.org/internal/media/dispatcher/20438/preview,,The Avery Brundage Collection,B62D48.48,2026-06-03,1,,
5948,,Clown or comedian figure with blue face and red mask,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,,https://searchcollection.asianart.org/objects/5219/clown-or-comedian-figure-with-blue-face-and-red-mask?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2980,https://searchcollection.asianart.org/internal/media/dispatcher/20439/preview,,The Avery Brundage Collection,B62D48.49,2026-06-03,1,,
5949,,Female figure with blue braided headdress,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,,https://searchcollection.asianart.org/objects/5220/female-figure-with-blue-braided-headdress?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2981,https://searchcollection.asianart.org/internal/media/dispatcher/20440/preview,,The Avery Brundage Collection,B62D48.50,2026-06-03,1,,
5950,,Female figure in blue robe with floral motifs and holding handkerchief,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 1/2 in, H. 26.7 cm",2,,https://searchcollection.asianart.org/objects/5221/female-figure-in-blue-robe-with-floral-motifs-and-holding-ha?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2982,https://searchcollection.asianart.org/internal/media/dispatcher/20441/preview,,The Avery Brundage Collection,B62D48.51,2026-06-03,1,,
5951,,Female figure in red robe and wearing black cap,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 in, H. 25.4 cm",2,,https://searchcollection.asianart.org/objects/5222/female-figure-in-red-robe-and-wearing-black-cap?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2983,https://searchcollection.asianart.org/internal/media/dispatcher/20442/preview,,The Avery Brundage Collection,B62D48.52,2026-06-03,1,,
5952,,Female figure in blue robe with floral motif and wearing black cap,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 1/2 in, H. 26.7 cm",2,,https://searchcollection.asianart.org/objects/5223/female-figure-in-blue-robe-with-floral-motif-and-wearing-bla?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2984,https://searchcollection.asianart.org/internal/media/dispatcher/20443/preview,,The Avery Brundage Collection,B62D48.53,2026-06-03,1,,
