object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
5571,,Brush washer,1700-1800,27,Jade And Stones,Nephrite,Qing dynasty (1644-1911); Nephrite,"H. 2 1/4 in x W. 6 1/2 in x D. 4 1/4 in, H. 5.7 cm x W. 16.5 cm x D. 10.8 cm",2,China,https://searchcollection.asianart.org/objects/6250/brush-washer?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=837,https://searchcollection.asianart.org/internal/media/dispatcher/13728/preview,,The Avery Brundage Collection,B60J58,2026-06-08,1,,
5572,,Avalokiteshvara (Guanyin) of the South Sea,1800s,27,Jade And Stones,Nephrite,Qing dynasty (1644-1911); Nephrite,"H. 8 1/4 in x W. 5 3/8 in x D. 2 3/4 in, H. 21 cm x W. 13.7 cm x D. 7 cm",2,China,https://searchcollection.asianart.org/objects/6269/avalokiteshvara-guanyin-of-the-south-sea?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=838,https://searchcollection.asianart.org/internal/media/dispatcher/13801/preview,,The Avery Brundage Collection,B60J101,2026-06-08,1,,
5573,,Vessel (gong),1800-1900,27,Jade And Stones,Hetian nephrite,Qing dynasty (1644-1911); Hetian nephrite,"H. 5 3/8 in x W. 3 1/8 in x D. 1 3/8 in, H. 13.7 cm x W. 7.9 cm x D. 3.5 cm",2,China,https://searchcollection.asianart.org/objects/6276/vessel-gong?ctx=81ec55f677311d665b977ec27efb68188f0f1698&idx=839,https://searchcollection.asianart.org/internal/media/dispatcher/13826/preview,,The Avery Brundage Collection,B60J115,2026-06-08,1,,
5574,,Dish in the shape of a hibiscus blossom,1800-1900,27,Jade And Stones,Manasi nephrite,Qing dynasty (1644-1911); Manasi nephrite,"H. 1 in x Diam. 8 3/4 in, H. 2.5 cm x Diam. 22.2 cm",2,China,https://searchcollection.asianart.org/objects/6282/dish-in-the-shape-of-a-hibiscus-blossom?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=840,https://searchcollection.asianart.org/internal/media/dispatcher/13842/preview,,The Avery Brundage Collection,B60J126,2026-06-08,1,,
5575,,Brush container in the shape of a tree trunk with fungus of immortality,1900-1940,28,Jade And Stones,Quartz,Quartz,"H. 3 3/8 in x W. 4 1/4 in x D. 3 1/8 in, H. 8.6 cm x W. 10.8 cm x D. 7.9 cm",2,China,https://searchcollection.asianart.org/objects/6312/brush-container-in-the-shape-of-a-tree-trunk-with-fungus-of?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=841,https://searchcollection.asianart.org/internal/media/dispatcher/13941/preview,,The Avery Brundage Collection,B60J171,2026-06-08,1,,
5576,,Triangular stand,1300-1400,25,Decorative Arts,Lacquer with inlaid mother-of-pearl and gold paint,Yuan dynasty (1271-1368) or Ming dynasty (1368-1644); Lacquer with inlaid mother-of-pearl and gold paint,"H. 13 3/4 in x W. 10 5/8 in x D. 9 1/4 in, H. 34.9 cm x W. 26.9 cm x D. 23.4 cm",2,China,https://searchcollection.asianart.org/objects/6314/triangular-stand?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=842,https://searchcollection.asianart.org/internal/media/dispatcher/66043/preview,,Museum purchase,B77M15,2026-06-08,1,,
5577,,Bean-shaped box with chains,1800-1900,27,Jade And Stones,Nephrite,Qing dynasty (1644-1911); Nephrite,"H. 1 1/4 in x W. 4 1/2 in x D. 1/2 in, H. 3.17 cm x W. 11.43 cm x D. 1.27 cm",2,China,https://searchcollection.asianart.org/objects/6320/beanshaped-box-with-chains?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=843,https://searchcollection.asianart.org/internal/media/dispatcher/13960/preview,,The Avery Brundage Collection,B60J178,2026-06-08,1,,
5578,,Spittoon,1900-1949,28,Jade And Stones,Nephrite,Nephrite,"H. 2 3/8 in x Diam. 5 in, H. 6.3 cm x Diam. 12.7 cm",2,China,https://searchcollection.asianart.org/objects/6341/spittoon?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=844,https://searchcollection.asianart.org/internal/media/dispatcher/14028/preview,,The Avery Brundage Collection,B60J233.a-.b,2026-06-08,1,,
5579,,Yi pouring vessel,1800-1900,27,Jade And Stones,Nephrite,Qing dynasty (1644-1911); Nephrite,"H. 2 1/2 in x W. 5 1/4 in x D. 2 7/8 in, H. 6.3 cm x W. 13.3 cm x D. 7.3 cm",2,China,https://searchcollection.asianart.org/objects/6344/yi-pouring-vessel?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=845,https://searchcollection.asianart.org/internal/media/dispatcher/14038/preview,,The Avery Brundage Collection,B60J238,2026-06-08,1,,
5580,,After Waterfall and Soughing Pine,1700s,27,Jade And Stones,Nephrite,Qing dynasty (1644-1911); Nephrite,"H. 9 1/4 in x W. 5 in x D. 4 in, H. 23.5 cm x W. 12.7 cm x  D. 10.2 cm",2,China,https://searchcollection.asianart.org/objects/6364/after-waterfall-and-soughing-pine?ctx=4afbcaa254b36a9d0af70fd790a7e29f6e9d20b9&idx=847,https://searchcollection.asianart.org/internal/media/dispatcher/14105/preview,,The Avery Brundage Collection,B60J265,2026-06-08,1,,
